User,The Great Gatsby,1984,Pride and Prejudice,The Hobbit,The Alchemist,Things Fall Apart,Americanah,Homegoing,Half of a Yellow Sun,The Beautyful Ones Are Not Yet Born,Harry Potter and the Philosopher's Stone,To Kill a Mockingbird,Jane Eyre,The Lord of the Rings,Atomic Habits,The 7 Habits of Highly Effective People,Sapiens,The Kite Runner,Purple Hibiscus,A Man of the People
Kwame,4,4,5,,3,,2,,3,,,5,5,2,3,3,3,3,,3
Ama,5,4,5,,2,4,3,4,,3,3,5,5,3,3,4,4,,3,3
Kojo,5,5,4,2,2,3,3,3,3,3,4,5,,3,3,3,3,3,2,2
Abena,,,5,,3,3,2,2,3,4,3,5,,4,3,3,4,4,3,
Yaw,5,5,5,2,,3,3,2,,2,3,4,5,,3,3,4,4,4,3
Akosua,5,,5,,3,2,2,2,2,3,3,5,5,3,3,,,3,4,
Kofi,5,,5,2,3,3,3,2,3,,3,4,4,,3,2,,,3,4
Adwoa,5,4,,2,3,,2,3,3,,2,4,5,3,,3,2,3,3,3
Kwadwo,5,4,5,3,2,,3,2,3,3,3,4,5,3,4,4,3,2,3,2
Esi,4,5,5,4,3,2,,3,,3,3,,5,2,,4,3,,3,
Kwesi,,2,3,5,,3,4,,3,3,4,,3,5,3,,3,4,3,3
Afia,4,,2,5,4,3,2,,3,3,,3,3,5,,3,4,4,3,4
Nana,3,2,3,5,4,3,3,4,3,,5,3,3,4,3,3,3,4,3,4
Mawuli,,,4,4,4,3,3,,3,2,5,4,3,4,2,2,3,,3,3
Yaa,2,3,3,5,4,3,3,3,3,3,5,3,3,4,3,3,2,,4,
Kweku,3,3,2,5,4,2,3,2,3,3,5,3,3,5,3,4,4,,3,3
Efua,,3,2,4,4,,3,3,3,3,4,4,3,4,4,,,3,3,
Fiifi,3,3,3,,4,3,2,3,3,4,,4,4,5,2,3,3,5,3,2
Araba,3,,4,5,4,,4,3,3,4,5,2,3,5,4,2,3,,3,3
Selorm,3,3,2,5,4,4,3,2,3,3,5,3,4,5,3,3,,,,4
Nii,,3,3,3,2,5,4,5,5,,,3,3,,,3,3,3,5,
Dzifa,,3,2,,3,,5,5,5,5,3,3,3,2,4,,4,4,,5
Ato,,,3,2,4,5,,5,5,4,3,3,3,,,4,3,3,5,4
Mansa,3,3,,3,2,,5,4,5,5,,3,3,3,3,3,3,3,4,4
Kobby,3,3,3,,,4,5,4,5,4,,3,2,3,,4,2,3,5,
Joana,3,3,2,2,3,5,5,5,4,4,3,3,3,3,3,2,3,3,5,4
Kelvin,3,3,3,4,3,5,,5,5,5,4,3,3,3,2,3,,2,5,4
Priscilla,,3,4,2,4,5,5,5,4,4,3,4,,4,2,4,2,,5,4
Daniel,,3,3,,,5,5,4,5,5,3,4,2,3,3,3,3,3,5,
Esther,3,4,4,2,4,4,5,5,4,5,3,4,4,3,4,3,2,4,,4
Samuel,3,3,3,3,4,3,3,3,3,3,3,4,3,3,5,,5,5,3,4
Rita,2,3,,3,4,2,3,3,2,,3,2,,3,5,5,5,5,3,3
Michael,3,,3,3,3,3,4,3,2,3,,4,2,,4,4,,4,3,3
Grace,3,,3,3,4,,3,,3,2,,,3,,,5,4,4,2,4
Emmanuel,3,2,,3,3,3,,,2,,3,3,3,3,5,,5,4,3,3
Linda,3,4,,4,4,3,,2,4,3,3,3,2,4,5,5,,4,3,3
Bright,3,3,3,,4,3,3,4,3,4,3,3,3,,5,4,,3,,3
Sharon,3,,3,3,3,,2,3,3,3,3,2,2,4,5,4,5,,3,3
Prince,2,,3,,4,4,2,4,,,3,3,4,2,5,,5,4,,3
Diana,3,3,4,3,3,2,3,3,4,3,,3,4,,5,5,5,4,3,4
